,variable_model,variable_dict,nombres_cambiados,mantener,descripcion,tipo,dtype,%_faltantes,unicos,ejemplos
0,﻿Llave2,,,,,,object,0.0,71827,"100046415_202110_13110, 100094861_202131_13118, 100090085_202141_13292, 100082960_202131_13165, 100083999_202110_13175"
1,Nombre_linea,Nombre_linea,0.0,Si,Categorías de los creditos  otorgados a lo largo de los años con variables y beneficios distintos. Posterior al filtro identificamos solo las línes del crédito interno,object,object,0.0,10,"ESTUDIA YA-TECH GLOBAL, ESTUDIA YA-TECH GLOBAL LINEA B, ESTUDIA YA-TECH GLOBAL NUEVA M, ESTUDIA YA-TECH GLOBAL PROMO N, ESTUDIA YA-TECH GLOBAL 1.8"
2,Fecha_aprobacion,Fecha_aprobacion,0.0,Si,"Fecha en la que se le realizo la aprobación del crédito al estudiante, esta fecha también la encontramos en la base de edades como ""Fecha"" pero algunas difieren por lo que nos quedamos con la fecha de aprobación de la base central de creditos ",datetime64,object,0.0,334,"12/02/2021, 15/02/2021, 5/02/2021, 25/02/2021, 15/03/2021"
3,Antiguedad_meses,Antiguedad_meses,1.0,Nueva,Se crea la columna de antiguedad para conocer la antiguedad del crédito ,int64,int64,0.0,58,"56, 55, 54, 53, 52"
4,Nombre_fondo,Nombre_fondo,0.0,Si,Hace referencia con que convenio ingreso el estudiante,object,object,0.0,128,"BOGOTA, CONVENIO SENA NACIONAL, CONVENIO INESUR, CONVENIO CONSTRUYENDO FUTURO -, CONVENIO FUNDACIÓN YANAPAX"
5,Valor_financiacion,Valor_financiacion,0.0,Si,"Valor por el cual se le aprobo el crédito nunca es superior al 85% del la totalidad de la matrícula  ""Vr_neto_matricula"" ",int64,int64,0.0,10536,"1895042, 1312400, 2589525, 1307300, 2186720"
6,Cuotas,Cuotas,0.0,Si,"Número de cuotas a las que se financió el crédito, el máximo de cuotas para el crédito interno son 12",int64 ,int64,0.0,7,"12, 4, 6, 5, 11"
7,Tipo_interes,Tipo_interes,0.0,Si,Son las categorias de como se va a realizar el cobro interes ,object,object,0.0,2,"Cap. Fijo-Int. vencido, Anualidad Vencida"
8,Vr_neto_matricula,Vr_neto_matricula,0.0,Temporal,"El valor total de la matrícula, pero debido a que tiene vacios la sacamos del MAFI",,float64,0.0,9825,"2190800.0, 1544000.0, 3385000.0, 1538000.0, 2528000.0"
9,Y_categorica,Y_categorica,1.0,Y FINAL,"Y = (Cuotas_vencidas / (Cuotas - Cuotas_por_vencer)) y se pondera el tipo de riesgo donde de 0 - 20% es riesgo bajo, de 21- 25% es riesgo medio y de 26-100% es riesgo alto",,object,0.0,3,"Bajo, Alto, Medio"
10,IDBANNER,IDBANNER,0.0,Temporal,"Llave principal junto con ""Periodo"", concatenar",object,float64,0.0,36001,"100046415.0, 100094861.0, 100090085.0, 100082960.0, 100083999.0"
11,FECHA_NACIMIENTO,FECHA_NACIMIENTO,0.0,Si,Fecha de nacimiento del estudiante,datetime64,object,0.0,12180,"29/11/1999, 2/08/1991, 28/05/1985, 3/10/1986, 27/02/2000"
12,ESTADO_CIVIL,ESTADO_CIVIL,0.0,Si,Estado civil del estudiante,object,object,0.0,8,"SOLTERO (A), UNION LIBRE, CASADO(A), SEPARADO (A), NO DECLARADO"
13,GENERO,GENERO,0.0,Si,Genero del estudiante,object,object,0.0,2,"F, M"
14,FACULTAD,FACULTAD,0.0,Si,Facultad a la que pertenece el programa,object,object,0.0,7,"FAC EDUCACION Y CCS HUM Y SOC, FACULTAD DE INGENIERIA, FAC CIENCIAS EMPRESARIALES, FAC CIENCIAS DE LA SALUD, FACULTAD DE CCIAS HUMANAS SOCI"
15,PROGRAMA,PROGRAMA,0.0,Si,Programa lo tomamos en base crédito,object,object,0.0,161,"PSICOLOGIA, INGENIERIA INDUSTRIAL VIRT, ESP GCIA SEG SALUD EN TRA VIRT, LIC EN EDUCACION INFANTIL DIST, MKT Y NEGOCIOS INTERNACIONALES"
16,NIVEL,NIVEL,0.0,Si,"Tipo de programa: Pregrado, Posgrado, Maestria, Técnico, Edu continua",object,object,0.0,6,"PROFESIONAL, ESPECIALISTA, MAESTRIA, TECNICO, EDUCACION CONTINUA"
17,ESTADO,ESTADO,0.0,Si,Si esta activo en la plataforma académica,object,object,0.0,2,"Activo, Inactivo"
18,TIPOESTUDIANTE,TIPOESTUDIANTE,0.0,Si,"Tipologias del estudiante antiguo, homologante, movilidad etc",object,object,0.0,24,"ESTUDIANTE ANTIGUO, PRIMER INGRESO, TRANSFERENTE INTERNO, ADMITIDO NO MATRICULADO, ESTUDIANTE ANTIGUO (RECUPERO)"
19,SEDE,SEDE,0.0,Si,Sede en la que se encuentra o virtual,object,object,0.0,4,"CEN, VIR, DIS, BOG"
20,SELLO,SELLO,0.0,Si,Con sello financiero o retención con permanencia,object,object,0.0,2,"TIENE SELLO FINANCIERO, NO EXISTE"
21,CARGA,CARGA,0.0,Si,Carga académica del periodo,object,object,0.0,48,"1 A 18, 0 A 999999.999, 1 A 19,  A , 1 A 11"
22,GRUPO_ETNICO,GRUPO_ETNICO,0.0,Si,"Grupo etnico, vacias no pertenece",object,object,0.0,25,"NO PERTENECE, MESTIZO, NO INFORMA, AFRCOLOMBIANO, MULATO"
23,TIPO_DISCAPACIDAD,TIPO_DISCAPACIDAD,0.0,Si,"Tipo de descapacidad, vacias ninguna",object,object,0.0,2,"NO APLICA, OTRA"
24,NACIONALIDAD,NACIONALIDAD,0.0,Si,Nacionalidad del estudiante,object,object,0.0,12,"COLOMBIA, VENEZUELA, PERÚ, PAÍSES BAJOS, ARUBA"
25,Mora,Mora,0.0,Si,Si el titular del crédito se encuentra en mora reportado por Datacredito,bool,bool,0.0,2,"False, True"
26,Valor_cuota_inicial,Valor_cuota_inicial,0.0,Si,Valor de la primera cuota hay 16 registros sin primera cuota para esos nos traemos el de la primera cuota para no perder los valores , float64,object,0.0,10714,"295758.0, 82995.0, 456975.0, 230700.0, 341280.0"
27,Valor_primera_cuota,Valor_primera_cuota,1.0,Si,Valor de la primera cuota hay 16 registros sin primera cuota para esos nos traemos el de la cuota inicial para no perder los valores ,float64,object,0.0,18922,"1.711.715.856, 126.417.984, 696064.32, 242.460.573.333, 358.677.696"
28,fecha de pago,fecha de pago,0.0,Si,"Los días de cada mes que establece las fechas de pago, hay 16 registros lo podemos dejar con el primer número de ""Fecha_aprobacion"" en la base créditos",int64,float64,0.0,5,"15.0, 5.0, 25.0, 30.0, 20.0"
29,Validación valor financiado,Validación valor financiado,0.0,Si,Saldo mínimo del valor financiado ,float64,object,0.0,11863,"173182.74, 48.598.183.333.333.300, 267584.25, 1.350.876.666.666.660, 199838.4"
30,Detalle estado final,Detalle estado final,0.0,Si,"Indica de si se aprobo completo, incompleto o desembolsado",object,object,0.0,5,"Desembolsado, Aprobado Completo, Aprobada en preanalisis y anal, 0, Aprobado Incompleto"
31,Tipo_estudiante,Tipo_estudiante,1.0,Si,Es una categoría integrada que ya me clasifica los estudiantes nuevos y antiguos le ponemos _Scoring,object,object,0.0,2,"Estudiante Antiguo, Estudiante Nuevo"
32,Operación,Operación,0.0,Si,Región de operación ya estandarizada lo dejamos igual con _Scoring,object,object,0.0,15,"Servicio al Estudiante, Contact, Sur, Centro, Nororiente"
33,Cate,Cate,0.0,Si,Variable inicial de filtro de solo los que pasaron el crédito y complementamos con el resto de la información de las otra bases ,object,object,0.0,2,"Sello Financiero, Crédito aprobado"
34,Subcate,Subcate,0.0,Si,Subcategoría,object,object,0.0,4,"Tiene Sello Financiero (Aproba, Tiene Sello Financiero (Lista , Aprobado (Aprobado Directo), Fue Aprobado Lista Blanca Peri"
35,Cohorte,COHORTE,0.0,No,No esta completa se toma plan como información de las 5 cohortes,,object,0.0,5,"Cohorte 1, Cohorte 2, Cohorte 4, Cohorte 3, Cohorte 5"
36,Mes,Mes,0.0,Si,Mes variable de control o aporte,object,object,0.0,12,"Febrero, Marzo, Abril, Mayo, Junio"
37,Cliente,Cliente,0.0,Temporal,"Llave principal junto con ""Periodo"", concatenar",Str para concatenar,object,0.0,3,"Estudiante, No estudiante, No Estudiante"
38,Media Score,Media Score,0.0,Si,Scoring de riesgo,object,object,0.0,7,"Scoring = o > 721, Scoring = o > 401  y < o = 480, Scoring = o > 561  y < o = 639, Scoring = o > 640  y < o = 720, Scoring = o > 481  y < o = 560"
39,AñoB,AñoB,0.0,Si,Año,int64,float64,0.0,5,"2021.0, 2022.0, 2023.0, 2024.0, 2025.0"
40,VALOR MAXIMO,VALOR MAXIMO,0.0,Si,"Ingreso maximo del titular del crédito por Datacrédito, 30% por plataforma antigua no existen (metodo de imputación)",float64,float64,0.0,1777,"0.0, 2412000.0, 2744000.0, 3331000.0, 2488000.0"
41,VALOR MEDIO,VALOR MEDIO,0.0,Si,"Ingreso medio del titular del crédito por Datacrédito, 30% por plataforma antigua no existen (metodo de imputación)",float64,float64,0.0,1777,"0.0, 1856000.0, 2111000.0, 2563000.0, 1914000.0"
42,VALOR BAJO,VALOR BAJO,0.0,Si,"Ingreso minimo del titular del crédito por Datacrédito, 30% por plataforma antigua no existen (metodo de imputación)",float64,float64,0.0,1721,"0.0, 1299000.0, 1477000.0, 1794000.0, 1339000.0"
43,Plataforma,Plataforma,0.0,Si,Plataforma 1 y 2,object,object,0.0,2,"ROMBO V1, ROMBO V2"
